id,state,year,corp_tax,corrections,education,health,welfare,general_rev,sales_tax,inc_tax,tot_gen_exp,tot_rev,tot_tax
28,Mississippi,2016,463.111,336.391,6515.704,422.536,6633.077,18953.932,3297.76,1800.053,19322.07,20880.788,7660.391
29,Missouri,2016,328.736,814.328,10023.638,1838.161,8666.452,28850.421,3536.396,6023.701,28241.003,33039.255,12245.169
30,Montana,2016,118.969,212.206,1900.782,221.587,1697.056,6011.223,NA,1181.042,6071.071,6862.804,2627.943
31,Nebraska,2016,307.672,362.811,3993.21,552.677,2638.151,10129.757,1783.498,2244.719,10286.483,10881.575,5117.133
32,Nevada,2016,NA,283.158,4885.614,244.929,4034.671,13904.474,4266.267,NA,12686.171,16808.682,8025.043
33,New Hampshire,2016,700.237,122.052,1535.811,152.301,2389.176,6996.686,NA,87.973,6390.364,8343.685,2641.946
34,New Jersey,2016,2229.487,1392.916,18627.835,1385.587,18456.912,60952.881,9267.703,13355.992,56486.798,65689.159,31546.72
35,New Mexico,2016,113.942,477.63,6047.87,485.089,5631.24,16536.739,2085.366,1409.811,17849.032,18602.071,5462.105
36,New York,2016,4181.811,3388.695,47037.29,8506.029,63586.859,164398.893,13534.17,46508.632,160855.795,185619.993,81353.963
37,North Carolina,2016,1066.511,1256.922,20826.728,1204,12938.72,51110.192,7187.844,12042.957,47759.083,55216.582,26201.576
38,North Dakota,2016,103.069,100.955,2472.461,271.762,1570.813,6699.443,1017.269,351.125,7369.058,7324.343,3709.105
39,Ohio,2016,33.235,1758.395,22907.313,2422.922,25748.236,67466.442,12226.504,8169.197,69002.878,78331.623,28694.883
40,Oklahoma,2016,327.783,571.005,8488.724,991.281,6572.413,20920.581,2471.242,2996.87,21227.857,22862.875,8491.187
41,Oregon,2016,609.868,854.026,9254.534,626.975,10390.91,28108.614,NA,7690.019,28512.03,32763.887,11043.311
42,Pennsylvania,2016,2456.231,2101.822,25179.057,3229.043,27933.78,79737.894,10221.593,11932.232,82457.161,90792.145,37394.589
44,Rhode Island,2016,144.269,201.516,2164.098,182.258,2701.788,7430.24,973.585,1236.194,7189.986,8201.456,3265.727
45,South Carolina,2016,440.489,502.322,9558.397,1147.908,7429.108,24904.905,3268.415,3869.342,26639.772,28937.828,9555.9
46,South Dakota,2016,32.684,126.395,1464.173,191.043,1046.368,4250.719,968.787,NA,4521.366,4537.22,1747.55
47,Tennessee,2016,1538.649,954.903,10267.929,669.897,12327.422,28984.418,7006.376,323.952,29839.161,31427.933,13386.169
48,Texas,2016,NA,4093.657,56423.563,2783.419,37548.331,122794.738,32131.385,NA,130548.688,144218.813,52132.817
49,Utah,2016,333.358,342.621,8600.936,388.627,3405.959,16441.022,2083.671,3374.535,17585.122,18164.518,7082.961
50,Vermont,2016,98.336,139.482,2735.875,387.363,1769.967,6121.318,371.365,729.986,6325.02,6488.122,3085.865
51,Virginia,2016,752.689,1806.022,16743.484,1452.591,11248.106,45425.587,3931.717,12237.996,48163.633,51655.912,21219.757
53,Washington,2016,NA,1037.432,18876.836,1961.839,12654.033,43629.247,13560.382,NA,46237.656,50774.856,22280.088
54,West Virginia,2016,144.68,301.038,4436.644,288.367,4452.44,12845.029,1286.833,1845.711,12938.786,13906.21,5127.97
55,Wisconsin,2016,986.785,1111.132,12136.898,453.906,10756.805,34642.53,5058.789,7486.676,33172.275,36853.22,17607.733
56,Wyoming,2016,NA,145.404,1982.651,265.145,824.96,5090.453,641.495,NA,5373.518,5914.028,1913.607
