id,state,year,corp_tax,corrections,education,health,welfare,general_rev,sales_tax,inc_tax,tot_gen_exp,tot_rev,tot_tax
01,Alabama,2016,376.68,541.525,11376.23,517.728,7203.252,25249.58,2596.223,3492.904,26348.626,30133.184,9919.794
02,Alaska,2016,212.252,332.443,2864.158,251.371,2372.655,7628.651,NA,NA,10873.494,8071.732,1042.164
04,Arizona,2016,570.548,1073.37,12805.986,2640.044,14280.071,34582.961,6660.817,3967.924,37788.496,38232.376,14676.375
05,Arkansas,2016,450.159,429.314,8449.234,296.508,6979.738,20346.096,3314.363,2781.458,20974.796,21439.227,9452.883
06,California,2016,9902.185,9528.475,93606.37,9053.782,107043.559,282907.926,39189.007,80753.345,276187.498,322332.341,155231.252
08,Colorado,2016,626.109,1079.854,11792.772,620.427,8639.905,27529.6,2840.173,6485.602,29099.805,31399.864,12795.318
09,Connecticut,2016,719.467,693.52,8528.978,1085.064,7726.922,26171.704,3752.793,7557.153,26929.325,28139.072,15244.947
10,Delaware,2016,318.152,308.341,3082.06,456.558,2454.63,7962.885,NA,1112.368,8563.49,8083.659,3522.301
12,Florida,2016,2272.23,2308.698,26633.264,3612.735,25597.07,80261.324,22291.157,NA,79065.87,85575.636,37640.42
13,Georgia,2016,981.002,1230.802,18583.348,1451.47,12005.228,42278.901,5480.196,10439.534,41407.51,45859.116,21454.446
15,Hawaii,2016,108.169,266.716,3386.37,515.683,2758.485,12919.296,3206.154,2116.13,10805.028,13417.567,6919.035
16,Idaho,2016,188.996,266.744,3042.233,152.781,2429.315,8150.771,1559.332,1521.238,8097.438,9401.987,4205.848
17,Illinois,2016,3367.461,1056.155,17794.527,1803.293,21878.017,68847.197,11344.48,13806.525,63957.842,75492.133,38907.22
18,Indiana,2016,1034.367,731.005,15894.974,568.635,12709.202,36259.733,7306.331,5218.166,36675.286,38687.72,17587.958
19,Iowa,2016,376.865,294.576,7524.562,264.957,6500.571,21074.247,3162.854,3553.325,21010.971,23715.865,9559.058
20,Kansas,2016,391.877,355.523,7246.839,201.034,4150.491,16459.697,3240.354,2231.902,16856.256,17609.012,8058.949
21,Kentucky,2016,606.84,631.655,10371.83,481.814,11265.798,28198.449,3462.704,4282.08,30913.716,29917.598,11778.866
22,Louisiana,2016,171.579,661.918,9563.548,492.242,8805.375,24110.397,3186.614,2866.456,26954.119,26842.105,9309.673
23,Maine,2016,137.492,166.878,2210.624,221.889,3342.542,8310.408,1359.19,1551.637,8336.209,8987.038,4130.242
24,Maryland,2016,1129.008,1476.235,12923.522,2284.125,11933.432,39159.671,4504.242,8517.529,38755.911,42037.052,20894.199
25,Massachusetts,2016,2333.892,1121.625,13604.676,1881.864,20186.031,54701.395,6089.86,14430.331,53641.097,60311.575,27277.284
26,Michigan,2016,898.213,1900.994,25725.807,1591.379,18707.348,61246.103,9163.542,9303.847,62216.94,71188.554,27436.607
27,Minnesota,2016,1515.697,620.117,15131.545,529.725,14873.839,41213.212,5583.91,10732.57,40870.37,44247.753,25189.128
