id,state,year,corp_tax,corrections,education,health,welfare,general_rev,sales_tax,inc_tax,tot_gen_exp,tot_rev,tot_tax
27,Minnesota,2015,1476.629,574.822,14305.318,489.107,13108.732,40470.072,5483.791,10370.047,37734.379,47407.059,24479.856
28,Mississippi,2015,534.547,371.359,5791.535,358.244,6228.236,18689.989,3422.774,1783.438,18354.508,21333.157,7902.885
29,Missouri,2015,425.776,812.003,9534.43,1740.525,8399.342,28038.945,3380.034,5856.131,27257.06,34610.377,11956.143
30,Montana,2015,168.039,214.638,1997.896,161.969,1545.178,6276.612,NA,1180.478,6406.607,7487.622,2843.465
31,Nebraska,2015,344.477,349.151,3611.552,532.776,2626.032,9958.441,1787.88,2239.582,9818.288,11361.675,5086.759
32,Nevada,2015,NA,272.391,4848.437,242.291,3779.343,13070.655,4080.507,NA,12303.598,16439.338,7532.989
33,New Hampshire,2015,576.679,106.824,1331.713,116.812,2112.515,6540.301,NA,96.038,5831.133,8021.839,2487.737
34,New Jersey,2015,2579.391,1395.26,17582.765,1347.935,18197.283,60668.535,9146.025,13250.002,55896.822,69746.902,31567.654
35,New Mexico,2015,249.947,456.801,5825.058,508.414,5610.951,17340.442,2256.088,1381.254,17849.371,19339.452,6009.443
36,New York,2015,5084.187,3284.138,42460.614,8327.753,58344.171,158998.025,13104.421,43713.484,151013.834,203800.058,78205.405
37,North Carolina,2015,1330.223,1207.307,20020.108,1132.05,13318.779,49675.256,6862.578,11197.65,46590.177,54782.46,25062.544
38,North Dakota,2015,186.039,91.209,2280.513,153.008,1335.551,8800.855,1389.083,536.131,7538.623,9883.423,5736.355
39,Ohio,2015,2.586,1702.92,22348.752,2373.209,23877.733,65381.404,11900.176,8882.973,66057.802,85140.343,28297.156
40,Oklahoma,2015,388.53,571.22,7749.032,908.033,6502.889,21572.037,2682.008,3252.29,20519.845,24938.838,9303.462
41,Oregon,2015,621.727,775.064,8292.9,467.328,10039.321,28163.913,NA,7309.115,26665.443,35086.418,10577.079
42,Pennsylvania,2015,2510.136,2061.391,24082.835,3042.955,24749.412,74729.881,9865.27,11488.974,76273.41,90830.702,36110.311
44,Rhode Island,2015,176.336,191.023,2052.694,170.838,2672.489,7364.028,959.513,1215.368,7172.099,8404.265,3196.673
45,South Carolina,2015,410.931,510.461,9225.13,1132.87,7398.432,24695.871,3568.788,3695.701,25421.331,29546.888,9620.534
46,South Dakota,2015,4.334,125.983,1316.817,191.962,1037.395,4169.927,970.784,NA,4179.477,4875.457,1674.108
47,Tennessee,2015,1400.973,941.977,10260.47,656.123,11420.314,27632.347,6548.032,302.196,28780.407,30806.454,12698.496
48,Texas,2015,NA,3848.268,52105.317,2661.393,35961.689,124069.849,33664.187,NA,120508.317,138700.488,55086.438
49,Utah,2015,368.681,326.545,7371.045,379.151,3245.21,15665.711,1882.901,3157.718,15983.565,18621.543,6703.356
50,Vermont,2015,112.643,145.536,2534.073,318.421,1728.547,6026.766,366.667,709.31,6059.341,6343.741,3043.152
51,Virginia,2015,817.851,1752.965,15864.838,1432.477,10608.711,44076.382,3793.215,11903.945,45717.678,51639.54,20536.885
53,Washington,2015,NA,1016.931,17087.813,2672.952,11477.978,41439.464,12517.831,NA,43951.583,50247.419,20644.454
54,West Virginia,2015,188.758,290.06,4154.3,309.414,4393.172,13634.383,1293.327,1932.457,12025.988,14946.301,5565.985
55,Wisconsin,2015,1032.411,1141.779,11757.644,674.063,10227.923,33475.661,4892.126,7069.248,34521.686,42099.547,17019.026
56,Wyoming,2015,NA,147.014,2010.117,266.544,795.434,6049.727,811.105,NA,5536.664,7266.1,2356.323
