id,state,year,corp_tax,corrections,education,health,welfare,general_rev,sales_tax,inc_tax,tot_gen_exp,tot_rev,tot_tax
01,Alabama,2015,533.586,562.859,10786.908,526.982,6872.757,24624.64,2463.912,3336.587,25436.524,26896.29,9755.439
02,Alaska,2015,227.852,340.726,2703.274,299.156,2113.211,7693.036,NA,NA,11580.917,8419.335,1394.31
04,Arizona,2015,690.96,1115.675,10458.097,2439.944,10440.648,31212.866,6466.167,3760.883,31172.671,35346.766,14082.1
05,Arkansas,2015,476.553,404.172,7638.61,288.644,6642.465,19379.762,3182.211,2664.153,19470.001,21665.918,9190.212
06,California,2015,9007.182,9667.904,90276.519,8648.877,109031.702,265498.842,38464.704,77929.551,269774.501,332456.557,151234.165
08,Colorado,2015,669.054,1052.356,10824.522,584.822,7910.755,26466.753,2817.773,6360.629,26814.661,32734.001,12797.117
09,Connecticut,2015,689.685,708.469,7874.421,1013.692,7677.002,26635.794,4082.787,8182.071,25756.576,30307.639,16224.696
10,Delaware,2015,400.746,302.261,3025.239,445.263,2323.157,7573.457,NA,1140.248,8199.548,8268.967,3513.916
12,Florida,2015,2237.5,2269.252,25347.156,3706.839,25913.158,79487.553,21800.895,NA,77651.861,91563.525,37217.759
13,Georgia,2015,1000.536,1484.986,17396.573,1374.371,12197.038,39125.628,5256.592,9678.524,39769.006,45504.018,19732.308
15,Hawaii,2015,72.249,217.301,3232.483,538.736,2480.019,11813.718,2992.707,1987.915,11047.776,13065.465,6485.563
16,Idaho,2015,217.082,273,2817.674,174.727,2304.073,7925.198,1463.802,1478.368,7713.895,9346.857,3976.017
17,Illinois,2015,4054.267,1458.695,17895.093,2301.367,22671.203,69801.594,10489.152,15913.816,67921.516,83631.798,40821.385
18,Indiana,2015,903.572,681.831,14865.806,569.675,11501.01,35036.133,7279.604,5232.977,34549.336,38919.794,17605.651
19,Iowa,2015,463.238,293.6,7118.769,261.541,6223.107,20317.912,3040.627,3471.617,20253.628,23478.092,9187.483
20,Kansas,2015,458.306,360.9,6999.82,131.796,3986.056,16121.674,3052.986,2262.951,16070.376,17949.863,7883.96
21,Kentucky,2015,751.91,532.798,9681.71,643.581,10918.824,26633.53,3267.331,4069.501,29113.622,30059.829,11597.983
22,Louisiana,2015,253.65,701.803,8938.108,538.631,8365.742,23461.674,2926.783,2983.104,26577.347,28101.183,9696.73
23,Maine,2015,168.966,155.673,2081.683,441.237,2917.467,8008.767,1280.298,1533.13,7788.2,8949.059,4064.075
24,Maryland,2015,1003.588,1465.25,12145.924,2205.886,12121.427,38297.637,4409.919,8346.145,37810.54,42718.541,20001.304
25,Massachusetts,2015,2227.381,1102.746,13192.076,1489.881,18790.185,51975.677,5803.934,14491.903,51341.206,61139.906,26973.576
26,Michigan,2015,1185.568,1888.12,24211.552,1350.074,18410.125,59727.316,9211.783,8825.375,59084.95,68301.496,26957.337
